Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
56.0,Male,88.3,1.71,180.0,157.0,60.0,1.69,1313.0,Yoga,12.6,3.5,4.0,3.0,30.2
,Female,74.9,1.53,179.0,151.0,66.0,1.3,883.0,HIIT,33.9,2.1,4.0,,32.0
32.0,Female,68.1,1.66,167.0,122.0,54.0,1.11,677.0,Cardio,33.4,2.3,4.0,2.0,24.71
25.0,Male,53.2,1.7,190.0,164.0,56.0,0.59,532.0,Strength,28.8,2.1,3.0,1.0,18.41
38.0,Male,46.1,1.79,188.0,158.0,68.0,0.64,556.0,,29.2,2.8,3.0,1.0,14.39
56.0,Female,58.0,1.68,168.0,156.0,74.0,1.59,1116.0,HIIT,15.5,2.7,5.0,3.0,20.55
36.0,Male,70.3,1.72,174.0,169.0,73.0,1.49,1385.0,Cardio,21.3,2.3,3.0,2.0,23.76
40.0,Female,69.7,1.51,189.0,141.0,64.0,1.27,895.0,Cardio,30.6,1.9,3.0,2.0,30.57
28.0,Male,121.7,1.94,185.0,127.0,52.0,1.03,,Strength,28.9,2.6,4.0,2.0,32.34
28.0,Male,101.8,1.84,169.0,136.0,64.0,1.08,808.0,Cardio,29.7,2.7,3.0,1.0,30.07
41.0,Male,120.8,1.67,188.0,146.0,54.0,0.82,593.0,HIIT,20.5,3.0,2.0,1.0,43.31
53.0,Male,51.7,1.7,175.0,152.0,72.0,1.15,865.0,HIIT,23.6,3.5,3.0,2.0,17.89
57.0,Male,112.5,1.61,195.0,165.0,61.0,1.24,1013.0,Cardio,22.1,2.7,3.0,2.0,43.4
41.0,Male,94.5,2.0,179.0,136.0,69.0,1.18,794.0,HIIT,27.6,3.7,3.0,1.0,23.62
20.0,Male,117.7,1.81,196.0,161.0,54.0,1.35,1195.0,Yoga,26.4,3.3,,2.0,35.93
39.0,Female,42.5,1.75,181.0,131.0,52.0,1.13,740.0,Strength,26.2,2.1,2.0,1.0,13.88
19.0,Female,64.0,1.53,166.0,167.0,58.0,1.33,1111.0,HIIT,29.8,2.3,3.0,2.0,27.34
41.0,Female,43.8,1.77,182.0,165.0,58.0,1.19,884.0,Cardio,31.9,1.6,3.0,1.0,13.98
47.0,Female,66.8,1.75,199.0,146.0,56.0,1.13,742.0,Strength,32.8,2.5,3.0,2.0,21.81
55.0,Female,75.2,1.67,188.0,167.0,51.0,1.37,1030.0,HIIT,25.2,2.2,2.0,1.0,26.96
19.0,Male,89.0,1.77,175.0,127.0,72.0,1.5,,Strength,28.9,3.7,4.0,2.0,28.41
38.0,Male,71.9,1.77,197.0,142.0,72.0,1.12,875.0,Cardio,25.7,3.1,,1.0,22.95
50.0,Female,71.0,1.68,187.0,161.0,70.0,1.17,848.0,Yoga,33.1,2.5,2.0,1.0,25.16
29.0,Male,120.9,1.78,197.0,168.0,65.0,0.78,721.0,Yoga,28.1,3.4,2.0,1.0,38.16
39.0,Female,64.3,1.69,190.0,148.0,58.0,1.25,925.0,HIIT,26.9,1.9,4.0,2.0,22.51
42.0,Female,63.7,1.71,173.0,169.0,62.0,1.42,1080.0,Yoga,26.1,1.8,3.0,2.0,21.78
44.0,Male,65.2,1.8,192.0,139.0,68.0,0.73,502.0,HIIT,27.2,2.7,2.0,1.0,20.12
59.0,Male,53.9,1.75,168.0,135.0,69.0,1.48,989.0,Strength,21.6,,4.0,2.0,17.6
45.0,Male,84.9,1.86,186.0,136.0,66.0,1.64,1104.0,HIIT,14.2,3.5,5.0,3.0,24.54
33.0,Female,78.0,1.68,183.0,135.0,55.0,1.29,871.0,HIIT,32.3,1.8,3.0,2.0,27.64
32.0,Male,108.2,1.8,172.0,138.0,53.0,1.27,964.0,HIIT,28.4,3.5,3.0,1.0,33.4
